--- SIMULAÇÃO DE EUROMILHÕES (5 semanas, 100 apostas p/ sem) ---

Semana 1 - Chave Sorteada: Números [4, 5, 8, 39, 42] + Estrelas [1, 11]
  Apostas da semana:
   Aposta 01: [13, 32, 33, 37, 41] + [4, 12] -> Sem prémio
   Aposta 02: [2, 16, 22, 49, 50] + [1, 3] -> Sem prémio
   Aposta 03: [1, 14, 15, 23, 30] + [6, 12] -> Sem prémio
   Aposta 04: [13, 41, 44, 45, 47] + [4, 6] -> Sem prémio
   Aposta 05: [8, 34, 41, 44, 47] + [2, 8] -> Sem prémio
   Aposta 06: [8, 20, 25, 35, 42] + [5, 12] -> PRÉMIO 2+0
   Aposta 07: [15, 19, 20, 37, 49] + [1, 8] -> Sem prémio
   Aposta 08: [5, 23, 37, 48, 49] + [3, 10] -> Sem prémio
   Aposta 09: [4, 9, 10, 38, 45] + [1, 9] -> Sem prémio
   Aposta 10: [3, 4, 18, 22, 34] + [2, 10] -> Sem prémio
   Aposta 11: [4, 18, 28, 32, 50] + [1, 11] -> PRÉMIO 1+2
   Aposta 12: [1, 12, 17, 35, 39] + [1, 12] -> Sem prémio
   Aposta 13: [2, 3, 16, 45, 48] + [11, 12] -> Sem prémio
   Aposta 14: [12, 17, 32, 39, 43] + [6, 12] -> Sem prémio
   Aposta 15: [12, 13, 23, 24, 30] + [1, 7] -> Sem prémio
   Aposta 16: [1, 18, 28, 31, 42] + [2, 10] -> Sem prémio
   Aposta 17: [3, 5, 21, 37, 39] + [2, 3] -> PRÉMIO 2+0
   Aposta 18: [7, 8, 30, 44, 49] + [10, 11] -> Sem prémio
   Aposta 19: [6, 12, 18, 22, 23] + [3, 12] -> Sem prémio
   Aposta 20: [6, 17, 26, 29, 40] + [11, 12] -> Sem prémio
   Aposta 21: [3, 7, 20, 24, 34] + [3, 5] -> Sem prémio
   Aposta 22: [15, 20, 34, 35, 46] + [7, 9] -> Sem prémio
   Aposta 23: [7, 20, 26, 40, 49] + [8, 12] -> Sem prémio
   Aposta 24: [5, 12, 36, 37, 44] + [1, 2] -> Sem prémio
   Aposta 25: [19, 26, 27, 34, 36] + [8, 10] -> Sem prémio
   Aposta 26: [7, 14, 39, 43, 48] + [7, 8] -> Sem prémio
   Aposta 27: [4, 19, 20, 29, 43] + [2, 4] -> Sem prémio
   Aposta 28: [8, 12, 21, 26, 43] + [9, 10] -> Sem prémio
   Aposta 29: [4, 28, 29, 30, 49] + [5, 10] -> Sem prémio
   Aposta 30: [5, 16, 19, 22, 29] + [6, 10] -> Sem prémio
   Aposta 31: [12, 13, 22, 29, 45] + [5, 12] -> Sem prémio
   Aposta 32: [8, 27, 28, 31, 42] + [7, 9] -> PRÉMIO 2+0
   Aposta 33: [11, 14, 37, 46, 50] + [10, 11] -> Sem prémio
   Aposta 34: [10, 24, 38, 40, 50] + [3, 10] -> Sem prémio
   Aposta 35: [6, 12, 37, 46, 49] + [3, 10] -> Sem prémio
   Aposta 36: [8, 10, 21, 34, 38] + [1, 7] -> Sem prémio
   Aposta 37: [3, 24, 27, 48, 50] + [4, 9] -> Sem prémio
   Aposta 38: [5, 24, 39, 41, 45] + [6, 12] -> PRÉMIO 2+0
   Aposta 39: [22, 30, 32, 35, 39] + [8, 9] -> Sem prémio
   Aposta 40: [15, 18, 25, 44, 49] + [2, 12] -> Sem prémio
   Aposta 41: [17, 18, 21, 49, 50] + [1, 10] -> Sem prémio
   Aposta 42: [1, 14, 16, 30, 47] + [1, 10] -> Sem prémio
   Aposta 43: [36, 41, 42, 44, 45] + [1, 9] -> Sem prémio
   Aposta 44: [11, 12, 37, 45, 48] + [9, 12] -> Sem prémio
   Aposta 45: [9, 10, 27, 28, 45] + [8, 9] -> Sem prémio
   Aposta 46: [6, 18, 22, 28, 46] + [1, 2] -> Sem prémio
   Aposta 47: [2, 9, 17, 27, 45] + [2, 8] -> Sem prémio
   Aposta 48: [10, 15, 33, 44, 49] + [1, 6] -> Sem prémio
   Aposta 49: [5, 9, 11, 24, 39] + [9, 12] -> PRÉMIO 2+0
   Aposta 50: [17, 27, 34, 41, 45] + [6, 7] -> Sem prémio
   Aposta 51: [9, 12, 13, 23, 25] + [3, 7] -> Sem prémio
   Aposta 52: [3, 7, 15, 25, 37] + [1, 6] -> Sem prémio
   Aposta 53: [5, 14, 16, 29, 30] + [4, 8] -> Sem prémio
   Aposta 54: [8, 9, 13, 16, 27] + [4, 7] -> Sem prémio
   Aposta 55: [4, 6, 26, 29, 50] + [3, 9] -> Sem prémio
   Aposta 56: [1, 17, 38, 39, 42] + [4, 11] -> PRÉMIO 2+1
   Aposta 57: [2, 3, 28, 32, 44] + [7, 9] -> Sem prémio
   Aposta 58: [11, 12, 31, 35, 41] + [8, 11] -> Sem prémio
   Aposta 59: [15, 16, 19, 27, 39] + [10, 12] -> Sem prémio
   Aposta 60: [21, 32, 42, 43, 45] + [6, 11] -> Sem prémio
   Aposta 61: [14, 16, 19, 34, 47] + [2, 6] -> Sem prémio
   Aposta 62: [5, 11, 14, 17, 47] + [3, 4] -> Sem prémio
   Aposta 63: [5, 12, 25, 31, 40] + [5, 6] -> Sem prémio
   Aposta 64: [15, 26, 32, 38, 41] + [1, 7] -> Sem prémio
   Aposta 65: [2, 15, 23, 42, 47] + [2, 3] -> Sem prémio
   Aposta 66: [15, 23, 25, 36, 46] + [1, 5] -> Sem prémio
   Aposta 67: [9, 24, 41, 44, 49] + [10, 12] -> Sem prémio
   Aposta 68: [1, 9, 21, 34, 37] + [6, 8] -> Sem prémio
   Aposta 69: [1, 5, 27, 30, 47] + [9, 12] -> Sem prémio
   Aposta 70: [13, 33, 38, 39, 48] + [4, 5] -> Sem prémio
   Aposta 71: [9, 10, 26, 27, 33] + [8, 11] -> Sem prémio
   Aposta 72: [6, 9, 23, 36, 42] + [7, 9] -> Sem prémio
   Aposta 73: [7, 8, 25, 39, 40] + [2, 5] -> PRÉMIO 2+0
   Aposta 74: [3, 15, 38, 41, 45] + [7, 10] -> Sem prémio
   Aposta 75: [7, 8, 30, 45, 49] + [6, 9] -> Sem prémio
   Aposta 76: [28, 30, 41, 42, 48] + [8, 12] -> Sem prémio
   Aposta 77: [17, 22, 27, 33, 35] + [1, 2] -> Sem prémio
   Aposta 78: [23, 30, 33, 35, 44] + [3, 12] -> Sem prémio
   Aposta 79: [25, 29, 35, 39, 43] + [1, 3] -> Sem prémio
   Aposta 80: [10, 12, 16, 17, 23] + [1, 3] -> Sem prémio
   Aposta 81: [18, 36, 38, 43, 47] + [3, 10] -> Sem prémio
   Aposta 82: [1, 2, 15, 31, 42] + [6, 9] -> Sem prémio
   Aposta 83: [5, 24, 25, 29, 41] + [6, 12] -> Sem prémio
   Aposta 84: [12, 13, 17, 30, 45] + [5, 6] -> Sem prémio
   Aposta 85: [4, 5, 11, 38, 42] + [6, 7] -> PRÉMIO 3+0
   Aposta 86: [9, 15, 40, 45, 48] + [3, 9] -> Sem prémio
   Aposta 87: [12, 22, 26, 38, 47] + [2, 5] -> Sem prémio
   Aposta 88: [8, 24, 34, 43, 50] + [7, 10] -> Sem prémio
   Aposta 89: [7, 15, 31, 36, 49] + [7, 12] -> Sem prémio
   Aposta 90: [2, 21, 25, 26, 27] + [1, 12] -> Sem prémio
   Aposta 91: [5, 15, 16, 36, 49] + [6, 8] -> Sem prémio
   Aposta 92: [1, 9, 29, 39, 45] + [4, 11] -> Sem prémio
   Aposta 93: [29, 34, 41, 42, 48] + [1, 4] -> Sem prémio
   Aposta 94: [6, 25, 38, 39, 44] + [2, 10] -> Sem prémio
   Aposta 95: [16, 26, 30, 32, 33] + [11, 12] -> Sem prémio
   Aposta 96: [11, 20, 34, 39, 49] + [1, 10] -> Sem prémio
   Aposta 97: [2, 11, 18, 34, 37] + [3, 7] -> Sem prémio
   Aposta 98: [3, 7, 11, 32, 46] + [7, 9] -> Sem prémio
   Aposta 99: [15, 28, 30, 38, 43] + [6, 9] -> Sem prémio
   Aposta 100: [4, 7, 17, 32, 44] + [4, 8] -> Sem prémio

  Resumo dos prémios das 100 apostas:
   Prémio 3+0: 1 aposta(s)
   Prémio 2+1: 1 aposta(s)
   Prémio 2+0: 6 aposta(s)
   Prémio 1+2: 1 aposta(s)

Semana 2 - Chave Sorteada: Números [24, 28, 31, 37, 47] + Estrelas [4, 12]
  Apostas da semana:
   Aposta 01: [14, 29, 32, 44, 46] + [2, 11] -> Sem prémio
   Aposta 02: [1, 18, 34, 39, 50] + [6, 8] -> Sem prémio
   Aposta 03: [2, 8, 23, 41, 47] + [2, 3] -> Sem prémio
   Aposta 04: [11, 15, 20, 26, 42] + [7, 12] -> Sem prémio
   Aposta 05: [4, 11, 19, 28, 42] + [5, 10] -> Sem prémio
   Aposta 06: [4, 17, 25, 45, 50] + [2, 9] -> Sem prémio
   Aposta 07: [5, 6, 8, 12, 32] + [1, 5] -> Sem prémio
   Aposta 08: [8, 12, 18, 40, 42] + [2, 10] -> Sem prémio
   Aposta 09: [10, 30, 37, 38, 41] + [3, 10] -> Sem prémio
   Aposta 10: [5, 10, 19, 36, 40] + [6, 9] -> Sem prémio
   Aposta 11: [17, 26, 27, 30, 31] + [1, 11] -> Sem prémio
   Aposta 12: [14, 15, 19, 31, 38] + [1, 3] -> Sem prémio
   Aposta 13: [16, 25, 26, 33, 40] + [4, 12] -> Sem prémio
   Aposta 14: [13, 19, 31, 32, 37] + [8, 12] -> PRÉMIO 2+1
   Aposta 15: [6, 8, 18, 21, 42] + [5, 6] -> Sem prémio
   Aposta 16: [17, 20, 23, 30, 39] + [2, 5] -> Sem prémio
   Aposta 17: [1, 21, 24, 37, 44] + [8, 10] -> PRÉMIO 2+0
   Aposta 18: [15, 24, 28, 32, 47] + [8, 10] -> PRÉMIO 3+0
   Aposta 19: [2, 15, 17, 18, 19] + [8, 9] -> Sem prémio
   Aposta 20: [3, 6, 11, 26, 27] + [5, 12] -> Sem prémio
   Aposta 21: [8, 22, 26, 36, 44] + [2, 9] -> Sem prémio
   Aposta 22: [12, 18, 31, 39, 46] + [4, 7] -> Sem prémio
   Aposta 23: [4, 19, 34, 40, 48] + [2, 11] -> Sem prémio
   Aposta 24: [9, 13, 15, 17, 36] + [4, 10] -> Sem prémio
